"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";"VENDOR";
"+3.3V";"TESTPOINT";"TESTPOINT";"TESTPOINT";"";"";"";"";"";"";"";"";"";"";"";
"+5V";"TESTPOINT";"TESTPOINT";"TESTPOINT";"";"";"";"";"";"";"";"";"";"";"";
"+12V";"TESTPOINT";"TESTPOINT";"TESTPOINT";"";"";"";"";"";"";"";"";"";"";"";
"+24V";"AOTF_SUPPLY";"2PINHEADER";"22-23-2021";"2 pin 0.100" Header for 2 pin header pigtails I get from Allelectronics.";"";"";"";"";"";"";"";"";"";"";
"-12V";"TESTPOINT";"TESTPOINT";"TESTPOINT";"";"";"";"";"";"";"";"";"";"";"";
"3V3_REG";"AP1117";"AP1117E33G_REG";"SOT223";"3.3 volt 1 amp regulator SOT223 case";"";"";"";"";"";"";"";"";"";"";
"25_MHZ";"ASFL1";"ASFL1";"ASF";"CRYSTAL CLOCK OSCILLATORS";"";"Abracon Corporation";"ASFL1-125.000MHZ-EC-T";"1838931";"19M1882";"";"";"";"";"";
"ADAC0";"AD5583YRVZ";"AD5583YRVZ";"RV_48";"";"AD5583YRVZ";"";"";"";"";"";"";"";"";"Vendor";
"ADAC1";"AD5583YRVZ";"AD5583YRVZ";"RV_48";"";"AD5583YRVZ";"";"";"";"";"";"";"";"";"Vendor";
"ADAC_REF";"ADR01";"ADR03AKSZ-REEL7";"SOT65P210X110-5N";"Ultracompact, Precision 10.0 V/5.0 V/2.5 V/3.0 V Voltage References";"";"";"ADR03AKSZ-REEL7";"1838919";"59K2675";"SC70-5";"";"Analog Devices";"";"";
"AOTF_DAC_CON";"TO_PNLMNT_DB25";"ML26";"ML26";"HARTING";"";"";"";"unknown";"unknown";"";"";"";"";"";
"AUX_A";"";"SMA_SMT";"SIDE_MOUNTSMA";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";"";"";"";"";"";"";"";"";"";
"AUX_AMP_A";"OP2177";"OP2177ARMZ-R7";"SOP65P490X110-8N";"Operational Amplifiers";"";"";"OP2177ARMZ-R7";"-";"71P5435";"MSOP-8";"";"Analog Devices";"";"";
"AUX_AMP_B";"OP2177";"OP2177ARMZ-R7";"SOP65P490X110-8N";"Operational Amplifiers";"";"";"OP2177ARMZ-R7";"-";"71P5435";"MSOP-8";"";"Analog Devices";"";"";
"AUX_B";"";"SMA_SMT";"SIDE_MOUNTSMA";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";"";"";"";"";"";"";"";"";"";
"AUX_DACS";"AD5440YRUZ";"AD5440YRUZTSSOP-24";"SOP65P640X120-24N";"";"";"";"";"";"";"";"";"";"";"";
"AUX_REF_A";"ADR01";"ADR03AKSZ-REEL7";"SOT65P210X110-5N";"Ultracompact, Precision 10.0 V/5.0 V/2.5 V/3.0 V Voltage References";"";"";"ADR03AKSZ-REEL7";"1838919";"59K2675";"SC70-5";"";"Analog Devices";"";"";
"AUX_REF_B";"ADR01";"ADR03AKSZ-REEL7";"SOT65P210X110-5N";"Ultracompact, Precision 10.0 V/5.0 V/2.5 V/3.0 V Voltage References";"";"";"ADR03AKSZ-REEL7";"1838919";"59K2675";"SC70-5";"";"Analog Devices";"";"";
"C1";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
